Title,Brand,Price,Discount,Stock Status,Rating,Social Proof,URL
"Epson Tm-T82Ii (USB+Parallel Pos Monochrome Wired Home Inkjet Printers), Gray",Visit the Epson Store,"₹15,999","12,545",In stock,4.2  4.2 out of 5 stars  (164),,https://www.amazon.in/Epson-TM-T82II-USB-Parallel-Printer/dp/B01ETKSH92
Yukonics PVC Inkjet Chip Card SLE4428/ISSI 4428 Contact IC Card Big Chip for Inkjet Printers (10),,₹899,550,In stock,4.3  4.3 out of 5 stars,,https://www.amazon.in/Yukonics-Inkjet-SLE4428-Contact-Printers/dp/B09V1J9SSN
"Canon imageCLASS MF641CW Multi Function Laser Colour Printer, White / Black, Medium (MF 641CW)","Visit the store, Canon    Canon   Visit the store",Discount not found,"19,499",Stock info not found,Rating not found,,https://www.amazon.in/Canon-imageClass-MF641-CW-Function/dp/B07XT2BT2J
Kabeer Art Lino Rubber Roller Ink Roller Brayer 4 inch,"Visit the store, KABEER ART    KABEER ART   Visit the store",₹600,389,In stock,Rating not found,,https://www.amazon.in/KABEER-ART-Rubber-Roller-Brayer/dp/B0795WMNYK
"HipponixTech USB Port Connector for Formatter Board Used Model Name/Number Compatible with Hp Laserjet 1005,1010,1020,1136,1108,1007,2900,3010,6030 Printers",,Discount not found,Price not found,Stock info not found,5.0  5.0 out of 5 stars,,https://www.amazon.in/HipponixTech-Connector-Formatter-Board-Number/dp/B0BSH22RYN
(Refurbished) Epson EcoTank L3211 All-in-One Ink Tank Printer (Black),Visit the Amazon Renewed Store,Discount not found,"11,699",Stock info not found,2.1  2.1 out of 5 stars  (5),,https://www.amazon.in/Renewed-Epson-EcoTank-L3211-Printer/dp/B0BDY2LLHV
"HP Laserjet MFP M233sdw Printer: Print, Copy, Scan Multiple Page with ADF, Fastest Two-Sided Printing, Lightning Print Speed of 30ppm(Letter/29ppm(A4), Ethernet, Self Reset Dual Band WiFi, Gray White",Visit the HP Store,Discount not found,Price not found,Stock info not found,2.7  2.7 out of 5 stars,,https://www.amazon.in/HP-Laserjet-MFP-M233sdw-Printer/dp/B0B2FDJ81B
Canon imageClass MF271dn All in One Monochrome 29ppm Laser Printer with Duplex,"Visit the store, Canon    Canon   Visit the store","₹25,999","19,990",Only 1 left in stock.,Rating not found,,https://www.amazon.in/Canon-imageClass-MF271dn-Monochrome-Printer/dp/B0C4NVZ2SS
Upwade 80mm (3 Inches) Direct Thermal Printer USB + Bluetooth + Rechargable Battery (Receipt + Label),"Visit the store, Upwade    Upwade   Visit the store","₹12,499","5,499",Only 2 left in stock.,Rating not found,,https://www.amazon.in/Upwade-Thermal-Printer-Bluetooth-Rechargable/dp/B0BVN2MG4V
Amazin Homes® Attractive New Designed Dust Proof Water Proof Washable Printer Cover for HP 1005 Multifunction Laser Printer,"Visit the store, Amazin Homes    Amazin Homes   Visit the store",Discount not found,384,In stock,Rating not found,,https://www.amazon.in/Amazin-Attractive-Designed-Washable-Multifunction/dp/B0957RWGSF
Posiflex Rugtek Printer RP80 -USE (USB+Serial+Ethernet 3 in 1). With 1 Yrs Onsite Warranty by Posiflex Service Center.,,"₹11,500","10,999",In stock,3.0  3.0 out of 5 stars  (4),,https://www.amazon.in/Posiflex-Printer-Ethernet-Warranty-Service/dp/B0831M9NXN
Jet Black Teflon Fuser Film Sleeve for Canon -LBP2900 /L-120 /MF4150/LBP3000/3112/1210 Set of 3,,₹650,450,In stock,4.0  4.0 out of 5 stars  (39),,https://www.amazon.in/Teflon-Sleeve-LBP2900-MF4150-LBP3000/dp/B079VXJXHW
Print STAR Paper Pickup Roller Fully Compatible for Use in Hp M1005 Laserjet Printer (Pack of 10),"Visit the store, Print Star    Print Star   Visit the store",₹999,379,In stock,Rating not found,,https://www.amazon.in/Print-Pickup-Compatible-Laserjet-Printer/dp/B09RMQBMML
(Refurbished) Canon Pixma E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),Visit the Amazon Renewed Store,Discount not found,"5,899",Stock info not found,3.7  3.7 out of 5 stars  (71),,https://www.amazon.in/Renewed-Canon-Wireless-Efficient-Printer/dp/B07JDGHTP2
